"","dts","depth","ax","ay","az","odba","temp","temp.dep","f","night"
"1",2018-07-20 20:00:00,16.5787433622322,-0.117059414462616,0.0142276870181837,0.0235374922874016,0.253962546899817,17.7811824,12.1740424,"5","day"
"2",2018-07-20 20:00:01,16.483396410965,0.0484145882915916,-0.0510508916251121,0.00306860037999385,0.249438846519512,17.7827496,12.1752672,"5","day"
"3",2018-07-20 20:00:02,16.4020904739607,-0.0368402513263838,-0.0261421921579757,-0.012850159150699,0.253465510643401,17.7851736,12.1776336,"5","day"
"4",2018-07-20 20:00:03,16.3466359362663,0.102424713161056,0.0250699728901684,0.00291441380208521,0.235475479353353,17.7892672,12.1799936,"5","day"
"5",2018-07-20 20:00:04,16.3227388270789,-0.0071538745529042,0.0228724788307113,-0.0107681613888704,0.22243091103908,17.7954784,12.183592,"5","day"
"6",2018-07-20 20:00:05,16.319465079961,0.0706337373769436,0.0334623200799996,0.0181440263220881,0.228673265130599,17.8017232,12.1873808,"5","day"
"7",2018-07-20 20:00:06,16.3148171059133,-0.102747834623665,0.0679621914039198,0.0118442113839986,0.26489562089168,17.8067568,12.1930168,"5","day"
"8",2018-07-20 20:00:07,16.288930853022,0.020814231557999,0.0441864281649764,0.0153627301388268,0.239032305340873,17.8117368,12.1953184,"5","day"
"9",2018-07-20 20:00:08,16.2318008538539,-0.101301736828288,-0.0137955815108075,-0.0182093401458533,0.249613910543088,17.8176648,12.1958192,"5","day"
"10",2018-07-20 20:00:09,16.1442486571159,0.0688524513487445,-0.0334132868275679,-0.00849807513686042,0.24934058847208,17.822712,12.1976696,"5","day"
"11",2018-07-20 20:00:10,16.0427151951204,-0.0510623837884721,-0.0055648908034323,-0.0142301769925091,0.245396667964384,17.827312,12.201608,"5","day"
"12",2018-07-20 20:00:11,15.9424538888604,0.043973631516176,-0.00279202221060037,0.0127936559958119,0.268553577962921,17.8318824,12.2053584,"5","day"
"13",2018-07-20 20:00:12,15.8571223631925,0.0081259204277675,-0.0655122527265521,-0.0130880470281392,0.282306063845759,17.8372288,12.2101368,"5","day"
"14",2018-07-20 20:00:13,15.7879255562194,0.174932823137471,0.037862096596072,0.053273476907889,0.536869842651367,17.84298,12.2160392,"5","day"
"15",2018-07-20 20:00:14,15.7311839255508,-0.127769348861368,0.0972118657709599,-0.0108532034287522,0.34950460066532,17.8486656,12.222836,"5","day"
"16",2018-07-20 20:00:15,15.6782114607591,-0.108556167853094,-0.0100500924237119,-0.0372723568367105,0.242267159102958,17.8544408,12.2239336,"5","day"
"17",2018-07-20 20:00:16,15.6169438435587,0.132275427932433,-0.00229747590953561,0.00333655942854435,0.303595879614624,17.8608792,12.2273056,"5","day"
"18",2018-07-20 20:00:17,15.5332180721631,-0.038278113073129,-0.00942262005559997,0.0143347557182649,0.230570813617168,17.8679504,12.2322008,"5","day"
"19",2018-07-20 20:00:18,15.4242757345635,0.0591628299180951,-0.030682747724208,0.0290382184880954,0.275684085121871,17.8737056,12.2398304,"5","day"
"20",2018-07-20 20:00:19,15.3002293484693,-0.13550740863261,-0.0397724779773682,-0.0217661661354823,0.291568751215457,17.880544,12.2479072,"5","day"
"21",2018-07-20 20:00:20,15.1703624142638,0.0736391308399091,-0.0302004597456402,-0.0217901081442616,0.28037901881247,17.8904176,12.2613656,"5","day"
"22",2018-07-20 20:00:21,15.0463185177111,-0.0880920643482345,-0.00551566600984007,-0.0184142838045745,0.262225032590122,17.89998,12.2741792,"5","day"
"23",2018-07-20 20:00:22,14.9323547748361,0.088219818947672,-0.00178626597565587,0.00958159503621754,0.315865301210999,17.9093304,12.286972,"5","day"
"24",2018-07-20 20:00:23,14.8253368528422,-0.0409421891414866,0.0461182615921842,0.00251065561962261,0.253989553487248,17.920112,12.2992352,"5","day"
"25",2018-07-20 20:00:24,14.7151248490633,0.0220446596712244,0.0174071868219361,0.0147593913306265,0.255708015689113,17.9317616,12.3128344,"5","day"
"26",2018-07-20 20:00:25,14.5947505367346,0.0319553137858871,-0.042847015980992,0.00154722888339563,0.25955731733688,17.94266,12.32852,"5","day"
"27",2018-07-20 20:00:26,14.4657076407776,0.0195295987108635,-0.0923763445675917,-0.0138319733652943,0.315168301226489,17.9541728,12.3469056,"5","day"
"28",2018-07-20 20:00:27,14.3449474495108,-0.0170252637706882,-0.105701130258528,0.00960687781449394,0.310023640685134,17.9665104,12.3652944,"5","day"
"29",2018-07-20 20:00:28,14.24623961716,-0.0158287375522803,-0.0319419062563761,-0.0132205900343734,0.249380044920377,17.9801496,12.3894416,"5","day"
"30",2018-07-20 20:00:29,14.1750486873967,0.0171018782237031,0.12399819395404,-0.00990107731279117,0.278494494788088,17.9941048,12.4153424,"5","day"
"31",2018-07-20 20:00:30,14.1362690988904,-0.0475130277093598,0.0813505670809277,0.00328676003979147,0.232868481054976,18.0079776,12.4337136,"5","day"
"32",2018-07-20 20:00:31,14.126838715552,-0.0168086364056227,0.0125402536845597,0.0295521099256582,0.188216237023728,18.0235776,12.451852,"5","day"
"33",2018-07-20 20:00:32,14.1318252672486,0.0337779716237035,0.00777406855576817,-0.00463249290386479,0.219629312021472,18.0404728,12.4698872,"5","day"
"34",2018-07-20 20:00:33,14.1355097887219,0.0311372629667442,0.0469587221449996,-0.0279767252385614,0.229796624554772,18.0571696,12.4833824,"5","day"
"35",2018-07-20 20:00:34,14.1227185243111,0.0456555103011372,-0.00584664045431171,0.0188990617619572,0.221384932217962,18.0730856,12.496372,"5","day"
